API Number,Trajectory ID,Measured Depth,Inclination,Azimuth,True Vertical Depth,N_S,E_W,Latitude,Longitude
423013415700,371841,14413.00,89.34,45.43,10974.24595,1290.07,2738.47,31.732518220,-103.573027940
423013415700,371841,14508.00,90.29,45.60,10974.55269,1358.58,2804.28,31.732711750,-103.572822780
423013415700,371841,14603.00,89.71,46.36,10974.55269,1426.56,2870.64,31.732903860,-103.572615790
423013415700,371841,14698.00,87.82,46.04,10976.60015,1494.27,2937.24,31.733095230,-103.572407990
423013415700,371841,14793.00,88.56,46.26,10979.60073,1562.01,3003.77,31.733286710,-103.572200430
423013415700,371841,14888.00,89.45,46.03,10981.25041,1629.79,3070.32,31.733478280,-103.571992830
423013415700,371841,14983.00,90.58,46.69,10981.22553,1697.33,3137.13,31.733669200,-103.571784350
423013415700,371841,15078.00,90.09,46.03,10980.67008,1764.86,3203.93,31.733860130,-103.571575870
423013415700,371841,15172.00,87.29,45.14,10982.81892,1832.55,3269.11,31.734051340,-103.571372660
423013415700,371841,15267.00,88.16,45.00,10986.58999,1901.52,3334.33,31.734246080,-103.571169420
423013415700,371841,15362.00,89.25,44.86,10988.73697,1970.69,3399.42,31.734441340,-103.570966630
423013415700,371841,15457.00,90.49,45.11,10988.95251,2039.81,3464.59,31.734636490,-103.570763570
423013415700,371841,15552.00,89.68,46.52,10988.81157,2107.98,3530.75,31.734829090,-103.570557230
423013415700,371841,15647.00,90.38,47.29,10988.76183,2174.87,3598.20,31.735018310,-103.570346620
423013415700,371841,15742.00,89.69,49.69,10988.70379,2239.88,3667.47,31.735202470,-103.570129990
423013415700,371841,15815.03,90.26,49.45,10988.73565,2288.84,3721.65,31.735341340,-103.569960360
423013415700,371841,15836.00,90.43,49.38,10988.60939,2302.94,3737.17,31.735381330,-103.569911770
423013415700,371841,15932.00,90.58,49.38,10987.76326,2367.53,3808.19,31.735564500,-103.569689490
423013415700,371841,16010.00,90.58,49.38,10986.97369,2420.01,3865.88,31.735713330,-103.569508890
